config_id,bar,feature_set,n_features,fit_scope,method,n_components,task,probe,metric,value,fit_seconds,n_eval,timestamp
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_relspread,knn,r2,0.5292,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_intraday,ridge,r2,0.0698,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_intraday,knn,r2,0.0919,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_stress,logistic,auc,0.7847,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_stress,knn,auc,0.8733,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_depth_collapse,logistic,auc,0.5987,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_depth_collapse,knn,auc,0.6228,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_spread_widen,logistic,auc,0.5718,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_spread_widen,knn,auc,0.5843,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_vol_spike,logistic,auc,0.7783,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,lab_vol_spike,knn,auc,0.8693,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_fwdvol,ridge,r2,0.3467,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_fwdvol,knn,r2,0.577,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_curvol,ridge,r2,0.3668,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_curvol,knn,r2,0.6003,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_relspread,ridge,r2,0.0672,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_relspread,knn,r2,0.1446,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_intraday,ridge,r2,0.0839,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|LLE,5s,full,19,sym:NVDA,LLE,3,reg_intraday,knn,r2,0.0773,0.96,6400,2026-06-03 14:08:20
B|5s|NVDA|nc3|UMAP_nn15,5s,full,19,sym:NVDA,UMAP_nn15,3,lab_stress,logistic,auc,0.615,14.51,6400,2026-06-03 14:08:35
B|5s|NVDA|nc3|UMAP_nn15,5s,full,19,sym:NVDA,UMAP_nn15,3,lab_stress,knn,auc,0.9551,14.51,6400,2026-06-03 14:08:35
B|5s|NVDA|nc3|UMAP_nn15,5s,full,19,sym:NVDA,UMAP_nn15,3,lab_depth_collapse,logistic,auc,0.6086,14.51,6400,2026-06-03 14:08:35
